census_region,political_party,contacts_adj_mean,mask_adj_mean,contacts_adj_se,mask_adj_se
Northeast,Democrat,5.0694712235797805,69.2847297397156,0.22252382002895113,1.2275935173015546
Northeast,Independent,5.477327563784472,62.37007208028429,0.19273132987538644,1.0652257029904189
Northeast,Republican,6.201006651692961,60.932689591508215,0.23709382192497022,1.2490949230422654
Midwest,Democrat,4.995220481031407,61.52570545776404,0.41057704399088557,2.2329358726328583
Midwest,Independent,5.876980332423603,43.496731663774696,0.34556002821914217,1.909256955692649
Midwest,Republican,6.643106331869974,50.097876076058924,0.4075321148892363,2.1303007400989213
South,Democrat,5.5248637325098775,61.97010559010149,0.2520681433094871,1.382291758052323
South,Independent,5.7669656780832135,46.81585618455091,0.2227674535495903,1.2396794524606634
South,Republican,6.413684281656679,53.67625798969478,0.23173101911924587,1.2389279471491164
West,Democrat,4.6679965467794435,67.86507241593529,0.2580475476649601,1.435515600417414
West,Independent,5.063231952967995,58.16668569551921,0.23259964578196643,1.3042502724868312
West,Republican,6.326580310296077,53.2304339168018,0.280653571265903,1.4950807721644337
