outcome,wave,political_party,estimate,std_error,lower.CL,upper.CL
contacts,1,Republican,4.120054735545877,0.5588787713330047,3.0245681497315346,5.21554132136022
contacts,1,Independent,4.826759444433437,0.6160763813844999,3.6191569262092775,6.034361962657596
contacts,1,Democrat,4.658317767448339,0.5590956541776548,3.562406058585503,5.754229476311175
contacts,2,Republican,5.868303217012622,0.53424591027424,4.821100749766144,6.9155056842591005
contacts,2,Independent,5.0022104923773805,0.5955298295280265,3.8348823110900483,6.169538673664713
contacts,2,Democrat,5.432895454332754,0.5001444559989201,4.45253697478377,6.413253933881737
contacts,3,Republican,8.933280255442709,0.45397683118704324,8.043417275588032,9.823143235297385
contacts,3,Independent,7.066158116226756,0.552221043513998,5.983721679911435,8.148594552542077
contacts,3,Democrat,6.163917520087496,0.4380993176799303,5.305176858623339,7.0226581815516536
contacts,4,Republican,6.455523430639564,0.5147045746468192,5.4466249250870975,7.464421936192031
contacts,4,Independent,6.363554867394374,0.5584334966624126,5.268941087014156,7.458168647774592
contacts,4,Democrat,5.729085074572781,0.43696568461651597,4.872566504692536,6.585603644453027
contacts,5,Republican,6.673568628798707,0.532446001917331,5.629894253084469,7.7172430045129445
contacts,5,Independent,5.72374101217472,0.6051604743221303,4.537535316253008,6.909946708096433
contacts,5,Democrat,6.363173179522206,0.44930876341257536,5.482460315740831,7.24388604330358
contacts,6,Republican,8.111665746582975,0.39691077880386155,7.3336608262893135,8.889670666876636
contacts,6,Independent,7.841166359705991,0.42307359760454355,7.0118783731851435,8.670454346226837
contacts,6,Democrat,6.329581824940209,0.35216716636899903,5.639281125557206,7.0198825243232115
masks,1,Republican,54.55149661745248,2.2450042059591087,50.150950168248414,58.95204306665654
masks,1,Independent,45.12056819484388,2.474765795990776,40.26965441604037,49.971481973647386
masks,1,Democrat,59.53508659256533,2.2458754197596957,55.132832433065445,63.93734075206521
masks,2,Republican,54.522855681703994,2.1460545239917064,50.316265515733484,58.729445847674505
masks,2,Independent,44.874683278910354,2.3922307316767033,40.185550659909595,49.56381589791111
masks,2,Democrat,59.32665029745998,2.0090697033036453,55.3885710165353,63.26472957838465
masks,3,Republican,64.68833675803563,1.8236153307308716,61.1137759856947,68.26289753037656
masks,3,Independent,67.50641237022407,2.218260254099653,63.15828809558896,71.85453664485918
masks,3,Democrat,69.28770741775067,1.7598356947310607,65.83816434024769,72.73725049525365
masks,4,Republican,63.2135510304793,2.0675573920126533,59.160827068628244,67.26627499233037
masks,4,Independent,61.90331862917665,2.243215547023466,57.506278220944445,66.30035903740885
masks,4,Democrat,70.6832553931406,1.7552819146880134,67.24263841054011,74.12387237574109
masks,5,Republican,60.02171897982773,2.138824330184267,55.829301082934464,64.214136876721
masks,5,Independent,65.18593650960892,2.4309168281575046,60.42097331352048,69.95089970569737
masks,5,Democrat,70.59447432674037,1.804863801195428,67.05666937717042,74.13227927631031
masks,6,Republican,47.96575298905605,1.5943822050707988,44.84052367653411,51.09098230157799
masks,6,Independent,48.20584403935018,1.699477694933805,44.87461173426528,51.537076344435086
masks,6,Democrat,58.904448988671604,1.414648060103218,56.13152567688605,61.67737230045716
concern,1,Republican,59.053284688313035,2.425182230748379,54.299559299367914,63.807010077258155
concern,1,Independent,50.28299620416566,2.6752387196691303,45.039122130729226,55.5268702776021
concern,1,Democrat,65.43403429279229,2.418734753230988,60.69294693870512,70.17512164687946
concern,2,Republican,41.795983945113605,2.3112195877573,37.265642639438305,46.326325250788905
concern,2,Independent,45.86376869619036,2.5780300189646375,40.810438435382274,50.917098956998466
concern,2,Democrat,64.42339448993182,2.178179426155404,60.1538321005531,68.69295687931053
concern,3,Republican,49.777904938410686,1.9619074505557417,45.93226845789374,53.62354141892762
concern,3,Independent,51.28506571812104,2.3976081088221237,46.58538979474464,55.984741641497436
concern,3,Democrat,67.22355176639915,1.8957385874221362,63.507616304076954,70.93948722872135
concern,4,Republican,48.90662236750078,2.229056543549413,44.53733310333063,53.27591163167092
concern,4,Independent,49.163612087956125,2.4269329028637645,44.40645511585939,53.920769060052855
concern,4,Democrat,74.31727652868824,1.892496363172651,70.60769631816362,78.02685673921286
concern,5,Republican,37.51667570852822,2.3023833100633273,33.00365484874974,42.0296965683067
concern,5,Independent,46.5338547646563,2.6294752406340987,41.37968405842132,51.688025470891276
concern,5,Democrat,63.810160078217116,1.9447615239901843,59.99813221704361,67.62218793939063
concern,6,Republican,28.559763358068295,1.7175734164626248,25.193058681737224,31.92646803439937
concern,6,Independent,34.45427081807649,1.8354657412771,30.856479285456107,38.05206235069687
concern,6,Democrat,50.850373666473736,1.5297758086614506,47.85178081484134,53.848966518106124
