political_party,wave,data_collected_dates,n,total_contacts,nonhh_contacts,hh_contacts
Democrat,1,"April 11-May 5, '20",945,3.736571744210324,2.0273619972264925,1.7092097469838317
Independent,1,"April 11-May 5, '20",621,4.3436041760424,2.4370678015644853,1.906536374477915
Republican,1,"April 11-May 5, '20",789,4.0994322643010115,2.1264980929457895,1.972934171355222
Democrat,2,"June 18-24, '20",907,4.921465540128822,3.097218949859332,1.8242465902694902
Independent,2,"June 18-24, '20",585,4.934673788088151,2.9535912862989377,1.9810825017892135
Republican,2,"June 18-24, '20",688,5.666762162519551,3.8248666448538895,1.8418955176656615
Democrat,3,"September 12-20, '20'",1227,5.185425025497794,3.4673014862002356,1.718123539297558
Independent,3,"September 12-20, '20'",690,6.04074483543742,4.142209413921243,1.8985354215161765
Republican,3,"September 12-20, '20'",1123,8.64238947924525,6.6167468729104755,2.025642606334774
Democrat,4,"December 1-7, '20'",1457,5.230575961948991,3.3725680560215543,1.8580079059274364
Independent,4,"December 1-7, '20'",654,5.471367867371351,3.771891190472053,1.6994766768992977
Republican,4,"December 1-7, '20'",726,5.7815507285147385,3.8877767255300766,1.893774002984662
Democrat,5,"February 9-14, '21'",1365,5.63908362521377,3.7217933115697086,1.9172903136440613
Independent,5,"February 9-14, '21'",682,4.843022812804162,3.1670025812330205,1.6760202315711417
Republican,5,"February 9-14, '21'",780,5.95225479825945,4.087434430358651,1.8648203679007986
Democrat,6,"May 14-25, '21'",2288,6.14364959078123,4.279243171299038,1.8644064194821919
Independent,6,"May 14-25, '21'",1295,7.2275274520823904,5.352172254336484,1.8753551977459066
Republican,6,"May 14-25, '21'",1411,7.707698191457914,5.897274138705001,1.8104240527529134
