term,model,Estimate,Std. Error,estimate_exp,ci_lower,ci_upper,tau
political_partyIndependent,Negative Binomial (non-HH contacts),-0.054682591849530414,0.02674086832095665,0.9467856177369992,0.8984405922454979,0.9977320856721599,NA
political_partyDemocrat,Negative Binomial (non-HH contacts),-0.1670625653997212,0.023708675106560148,0.8461466701764208,0.8077266609412795,0.8863941504868738,NA
political_partyIndependent,Negative Binomial (total contacts),-0.04673483194184857,0.0215536799767382,0.9543404246387599,0.9148638297779055,0.9955204440870595,NA
political_partyDemocrat,Negative Binomial (total contacts),-0.13495927215351117,0.01909017591815417,0.8737514969802117,0.8416626342409681,0.9070637657137426,NA
political_partyIndependent,Quantile Regression (tau=0.25),-0.18937661928842586,0.03376162472046444,NA,-0.25554940374053614,-0.12320383483631556,0.25
political_partyDemocrat,Quantile Regression (tau=0.25),-0.16405243837739136,0.03609166668970062,NA,-0.23479210508920456,-0.09331277166557815,0.25
political_partyIndependent,Quantile Regression (tau=0.5),-0.1782240935444298,0.07353648643224268,NA,-0.32235560695162546,-0.03409258013723415,0.5
political_partyDemocrat,Quantile Regression (tau=0.5),-0.2656939874480362,0.06533286322900908,NA,-0.393746399376894,-0.13764157551917838,0.5
political_partyIndependent,Quantile Regression (tau=0.75),-0.5279608584915121,0.2085817503972063,NA,-0.9367810892700364,-0.11914062771298772,0.75
political_partyDemocrat,Quantile Regression (tau=0.75),-0.8761411420644843,0.18485967784248644,NA,-1.2384661106357577,-0.513816173493211,0.75
political_partyIndependent,"OLS (non-HH contacts, weighted)",-0.48310943557842084,0.24040648753092897,NA,-0.9543061511390416,-0.011912720017800082,NA
political_partyDemocrat,"OLS (non-HH contacts, weighted)",-1.1060617504329902,0.26039793076992074,NA,-1.6164416947420348,-0.5956818061239455,NA
