dimension,level,n,contacts_gap,contacts_se,mask_gap,mask_se
Region,Northeast,4546,0.9634055831212798,0.4306058050233666,-8.647994694716656,1.7114019171353112
Region,Midwest,1234,1.815105046817303,1.011615680868515,-11.73246339565442,3.3761952863386475
Region,South,3550,0.9493963401931159,0.4839398638066708,-8.264231414782003,1.9513043975379796
Region,West,3447,1.873342468718985,0.4466063117300239,-14.580592139505885,1.9757635653980943
Metro,Metro,11114,1.2911984625038984,0.25771951310464497,-9.53902922452353,1.0930269161524118
Metro,Non-Metro,1002,0.12562984823066986,1.165160803991027,-6.884435775097297,3.774789607236382
Mask mandate,Less Strict,2610,0.824590547302192,0.5406023728004896,-10.918386573933152,2.0814516139929857
Mask mandate,Strict,7305,1.316586863872486,0.32549303628948695,-10.188441283177017,1.3731063208292764
Cong. district,Rep-majority CD,12812,1.3177473582316839,0.2566030187025954,-10.697437583235397,1.0314354113414206
Age,"[18,30)",2484,1.9376845318577516,0.6376235283243402,-9.753351845403712,2.401804639499036
Age,"[30,45)",4691,1.7561515283104088,0.436793472419771,-6.717415334467376,1.6663009549659584
Age,"[45,55)",2170,0.8361638929942657,0.6444651692569517,-13.83318827414063,2.435383079446148
Age,"[55,65)",1695,1.9852899297597453,0.7851023995842588,-13.3921962285837,2.939246762083591
Age,"[65,100]",1817,1.262607194693493,0.46628600704295114,-12.181435247535815,2.798073980129884
Education,Non-high school graduate,257,4.074617623071028,1.9001640166887943,-18.960502187649155,8.118653726401051
Education,High school graduate,2051,1.1444424435132696,0.6712785960846467,-8.799692980831859,2.643498308033745
Education,Some college,3748,1.7844181774673762,0.49660246363508165,-14.005329351649006,1.9651260898796266
Education,College graduate,6801,0.9803325469326263,0.3225096886452469,-7.982816496931436,1.3197347650339715
Race,White,10357,1.3723876368648613,0.29980642505667254,-10.70179927639328,1.1591189335954506
Race,Non-White,2500,0.13174812846646572,0.5162275842941529,-7.0378125264154185,2.5987049890566634
Gender,Female,6252,0.8716355795328207,0.37944173006252785,-11.89581913795849,1.497673376450552
Gender,Male,6605,1.6937589080258542,0.3463216743187219,-10.456032375238047,1.4128077710180509
