STATE,contacts_mean_Democrat,contacts_mean_Independent,contacts_mean_Republican,mask_mean_Democrat,mask_mean_Independent,mask_mean_Republican,contacts_gap_rd,mask_gap_dr
Alabama,14.947324008205152,8.003529533885422,6.119368856862448,65.08936539775935,41.226408147381576,54.48034108638226,-8.827955151342703,10.609024311377091
Arizona,5.112899502977066,5.193122406827981,6.372540375537485,61.41897001966968,54.83878240608892,50.58583387351184,1.2596408725604196,10.833136146157841
Arkansas,5.488025682365524,15.170471086813704,2.9765333504214784,86.31000290952171,26.936808731919477,17.0368610200859,-2.511492331944045,69.2731418894358
California,5.017554592643462,5.534247598484043,7.038487392941162,72.68500878706244,61.74355538645723,59.445659544414866,2.0209328002977003,13.239349242647577
Colorado,4.644547049810229,5.180444856897631,9.0984928411358,43.645655854694105,47.90897318164054,35.8599810183898,4.4539457913255704,7.7856748363043025
Connecticut,4.096112793571716,5.329852256465682,4.586701759138863,66.17628204663848,57.97084645249538,67.86875092062623,0.49058896556714693,-1.6924688739877496
Delaware,4.0968044085482775,9.403365038554389,4.879333455870783,59.54892946374817,61.05817536652823,71.41439846235356,0.7825290473225053,-11.865468998605387
Florida,6.023766347051093,4.802405906810035,6.527184856901098,70.43398685761852,43.99213253596699,58.27128780568565,0.5034185098500048,12.162699051932869
Georgia,5.410997420249292,6.487328644351558,7.424291443903628,55.45896537721651,46.3062359783593,51.1397988874141,2.0132940236543355,4.319166489802406
Hawaii,5.416610238944833,4.073168642132655,2.992671452960025,84.62635888984244,28.26583431748817,92.20146386956306,-2.423938785984808,-7.575104979720621
Idaho,3.1819229632065706,NA,5.060970132528315,70.47414436444032,NA,11.044460362304724,1.879047169321744,59.429684002135595
Illinois,4.337750363131439,6.683654627265793,6.753429683502427,66.52249903280978,42.37166605084257,61.60430283282045,2.4156793203709874,4.918196199989325
Indiana,5.808927406184242,5.437411326407269,6.336016871980116,64.15265226510088,46.3351461126533,54.69357830298157,0.527089465795874,9.459073962119312
Iowa,6.1674470983828975,14.687659501099846,7.238811425173321,32.33960592960101,22.958803488726513,50.68332220209372,1.0713643267904231,-18.343716272492713
Kansas,7.87256315789892,10.884996865241035,6.16499534870986,76.85693510402061,61.054852082913236,32.089061315466,-1.7075678091890598,44.76787378855461
Kentucky,7.039413882234652,6.163949418136283,5.880139779900739,41.2436616010221,27.590002761765334,42.309416162546185,-1.1592741023339128,-1.0657545615240878
Louisiana,5.4567039793347,6.8142962989444875,6.505491795392448,57.18498110410679,25.489464826734622,52.428876360074,1.0487878160577484,4.75610474403279
Maryland,4.365533470245184,3.1268681997312786,4.4553814473977384,70.86423215038484,75.56256137536046,81.1432966106284,0.08984797715255421,-10.27906446024356
Massachusetts,5.0983831680539025,6.02243895300855,6.404265401908807,67.4290157564442,61.99463018545761,58.04206357913661,1.3058822338549048,9.386952177307592
Michigan,4.242452863790902,6.214817685689292,10.635664053962593,61.46279096883884,54.59052428493446,41.83334518010023,6.393211190171691,19.629445788738607
Minnesota,6.9125272477689155,4.992746467799779,3.43186869653443,45.43289333704885,58.20734297524175,26.00792871270786,-3.4806585512344856,19.424964624340994
Mississippi,3.2822109145676586,3.854284240459516,4.133190773377184,63.07507303763753,36.28092625317091,69.20981897100712,0.8509798588095259,-6.134745933369594
Missouri,3.931655320456142,5.37040173613695,8.349175145445903,45.62055646136296,45.70784368582187,39.16844004099953,4.4175198249897605,6.452116420363431
Nebraska,6.679091241813394,4.374132689503098,3.9758490946293144,72.73476540661154,24.542935629512765,32.64040211707015,-2.7032421471840795,40.09436328954139
Nevada,4.8281164869396545,4.172959990442283,5.319085672660043,63.28189130461816,57.14898947514807,34.96065720056593,0.49096918572038817,28.32123410405223
New Hampshire,4.89349723331532,7.190222711123821,6.721660560081971,70.10904054201796,56.45284535978501,60.224610897373964,1.828163326766651,9.884429644644001
New Jersey,5.256304636424846,4.9118579473167925,5.971623635198205,67.79948884062813,63.67912390983522,58.137674366912684,0.715318998773359,9.661814473715445
New Mexico,3.5244802121280436,5.867260582047736,4.011332897125806,62.368323622196264,61.84035828345023,19.506367132760055,0.48685268499776235,42.86195648943621
New York,5.7918774224432985,5.03726905704269,6.922325925900877,72.01345792197945,64.7942544072882,67.33366775088591,1.1304485034575782,4.6797901710935434
North Carolina,4.485763521109996,5.467063552745286,4.607092844137104,58.66500069504246,34.50028506562181,46.909401029487675,0.12132932302710753,11.755599665554783
Ohio,5.817307491866134,3.6099206522931797,6.650950721798815,62.88428941655878,35.60957933613295,50.85175765993576,0.8336432299326813,12.032531756623023
Oklahoma,3.774149086846965,5.28248308253303,5.272924356819795,59.11240093427381,39.48922578514297,34.26024523799694,1.4987752699728296,24.852155696276867
Oregon,3.6618593340996366,5.456754931777658,3.9371886784842594,47.179310041155965,70.42970094931559,46.6767146073721,0.27532934438462275,0.502595433783867
Pennsylvania,5.0912624258475665,5.607999178039229,6.615701257630743,68.8409415336182,61.14603544696682,58.66744850369623,1.5244388317831765,10.173493029921978
South Carolina,5.4369659830627795,5.228049047971454,5.965139719992041,75.76928605061843,35.17632938654094,62.27297720494786,0.5281737369292614,13.496308845670576
Tennessee,11.189646011835297,7.437012575366229,7.0847267315415055,35.59468677575788,44.35138941801079,53.01438986530978,-4.1049192802937915,-17.419703089551902
Texas,5.575580984367204,4.764634419650948,7.895310941309015,65.34317862494463,47.4760535981252,50.252102660589635,2.319729956941811,15.091075964354992
Utah,3.9186297029551085,4.513085243859538,7.669841039842599,59.51385998980591,30.448254652426492,38.52449573805613,3.751211336887491,20.989364251749777
Virginia,7.353525902657728,4.896370064793967,5.513836643954134,74.33129933748198,51.43441382882248,63.462733580500036,-1.8396892587035945,10.868565756981944
Washington,3.5362870825290624,5.554719448496187,5.840314579377142,62.669115517585695,49.11083930081016,44.25491125837611,2.3040274968480796,18.414204259209583
West Virginia,4.367329055022583,5.304817122388829,4.293738648627473,34.97122748590707,42.08577646888885,33.31948963021565,-0.07359040639510983,1.6517378556914224
Wisconsin,5.882459945704964,2.62835047597977,5.44922123971436,59.29107757735247,36.706054086483206,44.78444940280295,-0.433238705990604,14.506628174549519
NA,5.284918125140079,4.600338912888524,6.68536730422313,82.4664167598626,67.46331397997432,43.421928241831715,1.4004491790830507,39.04448851803088
