wave,political_party,pct_very_concerned,n_total,n_very_concerned
1,Democrat,66.52497343251859,941,626
1,Independent,47.068403908794814,614,289
1,Republican,54.97448979591836,784,431
2,Democrat,61.931187569367374,901,558
2,Independent,45.25043177892919,579,262
2,Republican,42.89897510980965,683,293
3,Democrat,65.62756357670219,1219,800
3,Independent,45.22760646108662,681,308
3,Republican,56.759176365264096,1117,634
4,Democrat,73.39322736696613,1447,1062
4,Independent,49.69135802469135,648,322
4,Republican,43.0939226519337,724,312
5,Democrat,62.93294030950627,1357,854
5,Independent,44.196428571428555,672,297
5,Republican,36.76092544987145,778,286
6,Democrat,48.54625550660795,2270,1102
6,Independent,29.527559055118076,1270,375
6,Republican,25.48179871520344,1401,357
