wave,political_party,pct_very_concerned,pct_any_concern,n
1,Democrat,NA,93.49117119979738,945
1,Independent,NA,85.59668077428807,621
1,Republican,NA,84.87964400978099,789
2,Democrat,65.88038985197677,90.23992486219238,907
2,Independent,51.41987754874644,83.06263057905163,585
2,Republican,44.19191074312256,73.17966906407972,688
3,Democrat,69.43947198823336,93.67088360898963,1227
3,Independent,50.70340359118158,77.6056026196851,690
3,Republican,47.27895354752816,72.66810801290808,1123
4,Democrat,74.98324452390273,93.74664662072772,1457
4,Independent,50.652070463573104,81.477574239836,654
4,Republican,50.90318304517447,77.20996511693146,726
5,Democrat,69.0975069405043,93.97661459696509,1365
5,Independent,47.512328720140665,78.9315804285982,682
5,Republican,42.26142718755859,75.5592412011273,780
6,Democrat,55.38025157404498,85.21329072099081,2288
6,Independent,37.226611194014474,64.0624410693114,1295
6,Republican,30.945606334329405,58.387141187911695,1411
