census_region,political_party,n,vax_mean,vax_se
Northeast,Democrat,820,41.94550569768328,2.325181357362202
Northeast,Independent,487,44.80614218163744,3.0103594080326714
Northeast,Republican,412,39.773601902012516,3.2685512845958566
Midwest,Democrat,223,32.15385399057254,4.010063070773169
Midwest,Independent,123,29.48563761005471,4.917173383981743
Midwest,Republican,186,38.447320610996044,4.5999380267080685
South,Democrat,591,40.070432616412994,2.7131141150969027
South,Independent,325,27.237637483046136,3.2180076117507914
South,Republican,445,28.95463650383035,2.940530070090994
West,Democrat,644,44.66043351803975,2.6434067065860316
West,Independent,354,29.664207114908358,3.1063407100543396
West,Republican,366,34.40158344267718,3.290313254215965
